Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b0156_del,b0156,0,0,-,deletion
b0157_del,b0157,0,0,-,deletion
b0158_del,b0158,0,0,-,deletion
b0159_del,b0159,0,0,-,deletion
b0160_del,b0160,0,0,-,deletion
b0161_del,b0161,0,0,-,deletion
b0162_del,b0162,0,0,-,deletion
b0163_del,b0163,0,0,-,deletion
b0164_del,b0164,0,0,-,deletion
b0166_del,b0166,0,0,-,deletion
b0167_del,b0167,0,0,-,deletion
b0168_del,b0168,0,0,-,deletion
b4414_del,b4414,0,0,-,deletion
b0169_del,b0169,0,0,-,deletion
b0170_del,b0170,0,0,-,deletion
b0171_del,b0171,0,0,-,deletion
b0172_del,b0172,0,0,-,deletion
b0173_del,b0173,0,0,-,deletion
b0174_del,b0174,0,0,-,deletion
b0175_del,b0175,0,0,-,deletion
b0176_del,b0176,0,0,-,deletion
b0177_del,b0177,0,0,-,deletion
b0178_del,b0178,0,0,-,deletion
b0179_del,b0179,0,0,-,deletion
b0180_del,b0180,0,0,-,deletion
b0181_del,b0181,0,0,-,deletion
b0182_del,b0182,0,0,-,deletion
b0183_del,b0183,0,0,-,deletion
b0184_del,b0184,0,0,-,deletion
b0185_del,b0185,0,0,-,deletion
b0186_del,b0186,0,0,-,deletion
b0187_del,b0187,0,0,-,deletion
b0188_del,b0188,0,0,-,deletion
b0189_del,b0189,0,0,-,deletion
b4406_del,b4406,0,0,-,deletion
b0190_del,b0190,0,0,-,deletion
b0191_del,b0191,0,0,-,deletion
b0192_del,b0192,0,0,-,deletion
b0193_del,b0193,0,0,-,deletion
b0194_del,b0194,0,0,-,deletion
b0195_del,b0195,0,0,-,deletion
b0196_del,b0196,0,0,-,deletion
b0197_del,b0197,0,0,-,deletion
b0198_del,b0198,0,0,-,deletion
b0199_del,b0199,0,0,-,deletion
b0200_del,b0200,0,0,-,deletion
b0201_del,b0201,0,0,-,deletion
b0202_del,b0202,0,0,-,deletion
b0203_del,b0203,0,0,-,deletion
b0204_del,b0204,0,0,-,deletion
b0205_del,b0205,0,0,-,deletion
b0206_del,b0206,0,0,-,deletion
b0207_del,b0207,0,0,-,deletion
b0208_del,b0208,0,0,-,deletion
b0209_del,b0209,0,0,-,deletion
b0210_del,b0210,0,0,-,deletion
b0211_del,b0211,0,0,-,deletion
b0212_del,b0212,0,0,-,deletion
b0213_del,b0213,0,0,-,deletion
b0214_del,b0214,0,0,-,deletion
b0215_del,b0215,0,0,-,deletion
b0216_del,b0216,0,0,-,deletion
b0217_del,b0217,0,0,-,deletion
b4586_del,b4586,0,0,-,deletion
b0218_del,b0218,0,0,-,deletion
b4503_del,b4503,0,0,-,deletion
b0219_del,b0219,0,0,-,deletion
b0220_del,b0220,0,0,-,deletion
b0221_del,b0221,0,0,-,deletion
b0222_del,b0222,0,0,-,deletion
b0223_del,b0223,0,0,-,deletion
b0224_del,b0224,0,0,-,deletion
b0225_del,b0225,0,0,-,deletion
b0226_del,b0226,0,0,-,deletion
b0227_del,b0227,0,0,-,deletion
b0228_del,b0228,0,0,-,deletion
b0229_del,b0229,0,0,-,deletion
b0230_del,b0230,0,0,-,deletion
b0231_del,b0231,0,0,-,deletion
b0232_del,b0232,0,0,-,deletion
b0233_del,b0233,0,0,-,deletion
b0234_del,b0234,0,0,-,deletion
b0235_del,b0235,0,0,-,deletion
b0236_del,b0236,0,0,-,deletion
b0237_del,b0237,0,0,-,deletion
b0238_del,b0238,0,0,-,deletion
b0239_del,b0239,0,0,-,deletion
b0240_del,b0240,0,0,-,deletion
b4710_del,b4710,0,0,-,deletion
b4709_del,b4709,0,0,-,deletion
b0241_del,b0241,0,0,-,deletion
b0242_del,b0242,0,0,-,deletion
b0243_del,b0243,0,0,-,deletion
b0244_del,b0244,0,0,-,deletion
b4626_del,b4626,0,0,-,deletion
b0245_del,b0245,0,0,-,deletion
b0246_del,b0246,0,0,-,deletion
b4504_del,b4504,0,0,-,deletion
b0247_del,b0247,0,0,-,deletion
b0248_del,b0248,0,0,-,deletion
b0249_del,b0249,0,0,-,deletion
b0250_del,b0250,0,0,-,deletion
b0251_del,b0251,0,0,-,deletion
b4627_del,b4627,0,0,-,deletion
b4628_del,b4628,0,0,-,deletion
b0252_del,b0252,0,0,-,deletion
b0253_del,b0253,0,0,-,deletion
b0254_del,b0254,0,0,-,deletion
b4587_del,b4587,0,0,-,deletion
b0256_del,b0256,0,0,-,deletion
b4690_del,b4690,0,0,-,deletion
b0258_del,b0258,0,0,-,deletion
b0259_del,b0259,0,0,-,deletion
b0260_del,b0260,0,0,-,deletion
b0261_del,b0261,0,0,-,deletion
b0262_del,b0262,0,0,-,deletion
b0263_del,b0263,0,0,-,deletion
b0264_del,b0264,0,0,-,deletion
b0265_del,b0265,0,0,-,deletion
b4708_del,b4708,0,0,-,deletion
b4505_del,b4505,0,0,-,deletion
b0266_del,b0266,0,0,-,deletion
b0267_del,b0267,0,0,-,deletion
b0268_del,b0268,0,0,-,deletion
b0269_del,b0269,0,0,-,deletion
b0270_del,b0270,0,0,-,deletion
b0271_del,b0271,0,0,-,deletion
b0272_del,b0272,0,0,-,deletion
b0273_del,b0273,0,0,-,deletion
b4688_del,b4688,0,0,-,deletion
b0274_del,b0274,0,0,-,deletion
b0275_del,b0275,0,0,-,deletion
b0276_del,b0276,0,0,-,deletion
b0277_del,b0277,0,0,-,deletion
b0278_del,b0278,0,0,-,deletion
b0279_del,b0279,0,0,-,deletion
b4729_del,b4729,0,0,-,deletion
b0280_del,b0280,0,0,-,deletion
