,strain,design target,B:time,B:mean time,A:time,A:mean time
0,Bacillus_subtilis,50-2,270.33368730545044,274.2851430892944,779.6265599727631,546.0313812732696
1,Bacillus_subtilis,50-5,273.4265401363373,274.2851430892944,314.99162101745605,546.0313812732696
2,Bacillus_subtilis,50-3,273.43499970436096,274.2851430892944,312.4697127342224,546.0313812732696
3,Bacillus_subtilis,50-4,275.78806805610657,274.2851430892944,317.73655366897583,546.0313812732696
4,Bacillus_subtilis,50-1,278.4424202442169,274.2851430892944,1005.3324589729308,546.0313812732696
5,Bacillus_subtilis,100-1,502.7089376449585,522.9461540699006,586.4910697937012,758.9897106647492
6,Bacillus_subtilis,100-5,521.5195345878601,522.9461540699006,1306.09197807312,758.9897106647492
7,Bacillus_subtilis,100-3,524.0261800289154,522.9461540699006,586.5309090614319,758.9897106647492
8,Bacillus_subtilis,100-2,526.4216878414154,522.9461540699006,589.8772790431976,758.9897106647492
9,Bacillus_subtilis,100-4,540.0544302463531,522.9461540699006,725.9573173522949,758.9897106647492
10,Bacillus_subtilis,150-5,910.652604818344,877.3093241691589,1267.0522572994232,1428.5070231437683
11,Bacillus_subtilis,150-4,883.7440710067749,877.3093241691589,1521.4439380168917,1428.5070231437683
12,Bacillus_subtilis,150-2,840.8633711338043,877.3093241691589,1833.8488266468048,1428.5070231437683
13,Bacillus_subtilis,150-3,873.6228127479553,877.3093241691589,1141.2361073493958,1428.5070231437683
14,Bacillus_subtilis,150-1,877.663761138916,877.3093241691589,1378.9539864063263,1428.5070231437683
15,Bacillus_subtilis,200-4,1149.5718312263489,1187.0685009479523,1599.130526304245,1793.0904284954072
16,Bacillus_subtilis,200-3,1179.603767633438,1187.0685009479523,2242.1285786628723,1793.0904284954072
17,Bacillus_subtilis,200-2,1185.417106628418,1187.0685009479523,1624.2476301193235,1793.0904284954072
18,Bacillus_subtilis,200-1,1194.461819410324,1187.0685009479523,1825.149557352066,1793.0904284954072
19,Bacillus_subtilis,200-5,1226.2879798412323,1187.0685009479523,1674.7958500385284,1793.0904284954072
20,Bacillus_subtilis,250-2,1593.7351124286652,1568.491708087921,2659.239859819412,2318.0440982818604
21,Bacillus_subtilis,250-5,1580.8478655815125,1568.491708087921,2195.366490840912,2318.0440982818604
22,Bacillus_subtilis,250-3,1625.4158182144165,1568.491708087921,2119.291062355041,2318.0440982818604
23,Bacillus_subtilis,250-1,1516.0205852985382,1568.491708087921,2005.1568522453308,2318.0440982818604
24,Bacillus_subtilis,250-4,1526.4391589164734,1568.491708087921,2611.1662261486053,2318.0440982818604
25,Bacillus_subtilis,300-1,1981.8900878429413,1993.3839261054993,2977.6234514713287,2707.604871702194
26,Bacillus_subtilis,300-4,1987.867752790451,1993.3839261054993,2566.4010515213013,2707.604871702194
27,Bacillus_subtilis,300-3,1988.068925857544,1993.3839261054993,2502.943505764008,2707.604871702194
28,Bacillus_subtilis,300-2,1997.9282455444336,1993.3839261054993,2860.1921141147614,2707.604871702194
29,Bacillus_subtilis,300-5,2011.1646184921265,1993.3839261054993,2630.864235639572,2707.604871702194
30,Bacillus_subtilis,350-3,2259.549446344376,2299.150897502899,3385.952967643738,2952.630073070526
31,Bacillus_subtilis,350-4,2264.2546105384827,2299.150897502899,2758.983586788177,2952.630073070526
32,Bacillus_subtilis,350-5,2275.0112719535828,2299.150897502899,2810.9567914009094,2952.630073070526
33,Bacillus_subtilis,350-1,2332.0121059417725,2299.150897502899,2897.100790977478,2952.630073070526
34,Bacillus_subtilis,350-2,2364.9270527362823,2299.150897502899,2910.156228542328,2952.630073070526
35,Bacillus_subtilis,400-3,2680.0880982875824,2651.484536933899,3583.2190759181976,3263.4110238552094
36,Bacillus_subtilis,400-1,2653.027447938919,2651.484536933899,3129.067690372467,3263.4110238552094
37,Bacillus_subtilis,400-5,2638.4351320266724,2651.484536933899,3356.812133550644,3263.4110238552094
38,Bacillus_subtilis,400-2,2634.962337732315,2651.484536933899,3160.635273694992,3263.4110238552094
39,Bacillus_subtilis,400-4,2650.9096686840057,2651.484536933899,3087.320945739746,3263.4110238552094
40,Bacillus_subtilis,450-5,2820.860611438751,2836.0213771820067,3259.2052958011627,3275.7760951519012
41,Bacillus_subtilis,450-2,2823.8247017860413,2836.0213771820067,3229.234915971756,3275.7760951519012
42,Bacillus_subtilis,450-4,2827.343983411789,2836.0213771820067,3301.3866760730743,3275.7760951519012
43,Bacillus_subtilis,450-1,2846.7720758914948,2836.0213771820067,3343.7552483081818,3275.7760951519012
44,Bacillus_subtilis,450-3,2861.305513381958,2836.0213771820067,3245.2983396053314,3275.7760951519012
45,Bacillus_subtilis,500-3,3038.438198328018,3028.004906606674,3670.181587457657,3559.2657100200654
46,Bacillus_subtilis,500-2,3012.9077112674718,3028.004906606674,3667.831372499466,3559.2657100200654
47,Bacillus_subtilis,500-5,3013.917435646057,3028.004906606674,3381.7814950942998,3559.2657100200654
48,Bacillus_subtilis,500-4,3036.133227109909,3028.004906606674,3656.6724395751953,3559.2657100200654
49,Bacillus_subtilis,500-1,3038.6279606819157,3028.004906606674,3419.861655473709,3559.2657100200654
50,Corynebacterium_glutamicum,50-5,277.4066643714905,283.5345669746399,468.7754938602448,362.65721383094785
51,Corynebacterium_glutamicum,50-2,281.6652183532715,283.5345669746399,309.6002266407013,362.65721383094785
52,Corynebacterium_glutamicum,50-3,281.78371357917786,283.5345669746399,398.1696939468384,362.65721383094785
53,Corynebacterium_glutamicum,50-4,287.1576085090637,283.5345669746399,326.9576885700226,362.65721383094785
54,Corynebacterium_glutamicum,50-1,289.6596300601959,283.5345669746399,309.7829661369324,362.65721383094785
55,Corynebacterium_glutamicum,100-5,584.9645154476166,598.1472267627717,641.7424666881561,845.2644065856933
56,Corynebacterium_glutamicum,100-1,591.2508749961853,598.1472267627717,775.5601215362549,845.2644065856933
57,Corynebacterium_glutamicum,100-2,597.916393995285,598.1472267627717,743.5501372814178,845.2644065856933
58,Corynebacterium_glutamicum,100-3,601.1673364639282,598.1472267627717,1046.4976832866669,845.2644065856933
59,Corynebacterium_glutamicum,100-4,615.4370129108429,598.1472267627717,1018.9716241359712,845.2644065856933
60,Corynebacterium_glutamicum,150-3,969.9926965236664,957.6645771026612,1576.732633113861,1496.0319731235504
61,Corynebacterium_glutamicum,150-5,962.081297159195,957.6645771026612,1450.708226442337,1496.0319731235504
62,Corynebacterium_glutamicum,150-1,949.9136703014374,957.6645771026612,1794.7506930828094,1496.0319731235504
63,Corynebacterium_glutamicum,150-4,953.1659607887268,957.6645771026612,1276.68217587471,1496.0319731235504
64,Corynebacterium_glutamicum,150-2,953.1692607402802,957.6645771026612,1381.2861371040344,1496.0319731235504
65,Corynebacterium_glutamicum,200-4,1294.922773361206,1315.0645372390748,1956.19615149498,2130.3402057647704
66,Corynebacterium_glutamicum,200-5,1307.402922153473,1315.0645372390748,1974.499485254288,2130.3402057647704
67,Corynebacterium_glutamicum,200-3,1315.2204813957214,1315.0645372390748,2495.473738670349,2130.3402057647704
